Gene,Expressed,AC_LRG,AN_LRG,AF_LRG,AC_HRG,AN_HRG,AF_HRG,pVal,FDR
HLA-DRB1,YES,177,996,2.1592729519,339,1250,3.2849188935,3.24807458658282E-05,0.1141698217
TMEM33,YES,38,340,0.2235294118,12,372,0.064516129,0.0001095389,0.1925145672
MTERF1,YES,2,510,0.0117647059,20,558,0.1075268817,0.0002885091,0.3380364662
SV2C,NO,11,1190,0.0647058824,0,1298,0,0.0003084389,-
VIM,NO,53,2890,0.3117647059,24,3162,0.1290322581,0.0003127889,-
PDP2,YES,34,680,0.2,13,744,0.0698924731,0.0009649561,0.8479551317
WDR17,NO,8,2296,0.0491830065,31,2558,0.1682951269,0.0009985585,-
PSCA,YES,504,1530,2.9647058824,689,1674,3.7043010753,0.0012280693,0.8633327044
LBX2,NO,8,340,0.0470588235,0,372,0,0.0028557828,-
RAB2B,YES,109,850,0.6411764706,76,930,0.4086021505,0.0041902176,1
MCIDAS,YES,12,170,0.0705882353,35,186,0.188172043,0.0046699981,1
ARID3B,YES,76,850,0.4470588235,49,930,0.2634408602,0.0053654254,1
COPB1,YES,12,1018,0.0707282913,2,1116,0.0107526882,0.0055395755,1
LCE6A,NO,7,340,0.0411764706,0,372,0,0.0059085161,-
RPS6KL1,YES,31,170,0.1823529412,13,186,0.0698924731,0.0060988488,1
CRELD2,YES,0,340,0,8,372,0.0430107527,0.0081786426,1
PGRMC1,YES,0,680,0,8,744,0.0430107527,0.008211524,1
NAAA,YES,15,170,0.0882352941,4,186,0.0215053763,0.0090697516,1
REEP6,YES,111,1530,0.6529411765,82,1674,0.4408602151,0.0093339768,1
ZHX3,YES,12,340,0.0705882353,31,372,0.1666666667,0.0117306211,1
SRGAP1,YES,6,170,0.0352941176,0,186,0,0.0126330048,1
ART1,NO,6,170,0.0352941176,0,186,0,0.0126330048,-
MAGOH,YES,4,322,0.0246217969,17,358,0.095467033,0.0130320376,1
FCRL6,NO,36,510,0.2117647059,68,558,0.3655913978,0.0131496979,-
MOBP,NO,67,1020,0.3941176471,109,1116,0.5860215054,0.0147368971,-
CRACR2B,YES,14,340,0.0823529412,4,372,0.0215053763,0.0153219486,1
IFNW1,NO,0,170,0,7,186,0.0376344086,0.0160243488,-
HSPG2;LDLRAD2,NO,12,170,0.0705882353,3,186,0.0161290323,0.0170187514,-
USP40,YES,26,170,0.1529411765,54,186,0.2903225806,0.0177474807,1
NSUN7,YES,19,170,0.1117647059,42,186,0.2258064516,0.0178999034,1
TMEM45A,NO,9,170,0.0529411765,25,186,0.1344086022,0.0191303496,-
RNF26,YES,20,170,0.1176470588,43,186,0.2311827957,0.0198347348,1
PCMTD2,YES,44,678,0.2588935574,27,744,0.1451612903,0.0206517274,1
MGLL,YES,272,2036,1.6610700874,361,2212,1.985148461,0.0211760271,1
DHX40,YES,44,680,0.2588235294,76,744,0.4086021505,0.022038041,1
HIF1AN,YES,2,340,0.0117647059,11,372,0.0591397849,0.0239647184,1
SPINK5,YES,56,340,0.3294117647,94,372,0.5053763441,0.024017995,1
PRLHR,YES,44,340,0.2588235294,27,372,0.1451612903,0.0249584555,1
USH2A,YES,5,510,0.0294117647,0,558,0,0.0252134987,1
DNAJC11;THAP3,YES,5,340,0.0294117647,0,372,0,0.0254054084,1
CACNA2D3,YES,39,510,0.2294117647,69,558,0.3709677419,0.0256241899,1
CHMP1A,YES,5,170,0.0294117647,0,186,0,0.0259837939,1
GSPT1,YES,5,170,0.0294117647,0,186,0,0.0259837939,1
WDR5,YES,5,170,0.0294117647,0,186,0,0.0259837939,1
SLC15A1,NO,5,170,0.0294117647,17,186,0.0913978495,0.0268323159,-
NUGGC,NO,16,416,0.126914099,34,444,0.2638221154,0.0284079002,-
ACOT2,YES,16,340,0.0941176471,6,372,0.0322580645,0.0285896693,1
GFER,YES,35,170,0.2058823529,20,186,0.1075268817,0.0303637742,1
HLA-DQA1,NO,308,1136,2.703221121,429,1314,3.2625917615,0.0313475667,-
ACOX2,YES,0,170,0,6,186,0.0322580645,0.0316759054,1
FIZ1,NO,0,170,0,6,186,0.0322580645,0.0316759054,-
BMP2,YES,52,340,0.3058823529,86,372,0.4623655914,0.0319810431,1
SFXN5,YES,9,170,0.0529411765,2,186,0.0107526882,0.0320856014,1
SRFBP1,YES,9,170,0.0529411765,2,186,0.0107526882,0.0320856014,1
RANBP10,YES,7,340,0.0411764706,1,372,0.0053763441,0.0322795715,1
NFIC,YES,7,170,0.0411764706,1,186,0.0053763441,0.0326978557,1
VIRMA,YES,14,170,0.0823529412,5,186,0.0268817204,0.0336779277,1
ELMO3,YES,6,340,0.0352941176,18,372,0.0967741935,0.036182025,1
CALCOCO2,YES,6,510,0.0352941176,18,558,0.0967741935,0.0368994466,1
TIAM1,YES,17,680,0.1,7,744,0.0376344086,0.0372669778,1
UBL4A,YES,77,340,0.4529411765,56,372,0.3010752688,0.0374538679,1
FAM227A,YES,10,1190,0.0588235294,24,1302,0.1290322581,0.0378057232,1
CTNS,YES,126,680,0.7411764706,102,744,0.5483870968,0.0384679456,1
TTC19,YES,1,170,0.0058823529,8,186,0.0430107527,0.0400768185,1
LIMK1,YES,1,340,0.0058823529,8,372,0.0430107527,0.0403528236,1
KCTD1,YES,25,170,0.1470588235,13,186,0.0698924731,0.0405220161,1
MC1R,YES,9,170,0.0529411765,23,186,0.123655914,0.0409976236,1
NEUROD4,NO,67,170,0.3941176471,47,186,0.252688172,0.0417007913,-
MPC2,YES,24,340,0.1411764706,45,372,0.2419354839,0.0432521993,1
SCGB2A2,NO,15,170,0.0882352941,32,186,0.1720430108,0.0437586471,-
PTEN,YES,40,170,0.2352941176,25,186,0.1344086022,0.0438162435,1
BOC;CFAP44,NO,5,510,0.0294117647,16,558,0.0860215054,0.0445360664,-
FCRL5,NO,22,170,0.1294117647,11,186,0.0591397849,0.0451300218,-
EPHA5,NO,25,340,0.1470588235,46,372,0.247311828,0.0463660168,-
ARNT2,YES,17,850,0.1,34,930,0.1827956989,0.0465059319,1
RASSF7,YES,10,170,0.0588235294,3,186,0.0161290323,0.0484141889,1
HPRT1,YES,4,680,0.0235294118,0,744,0,0.0523988459,1
BCKDK,YES,4,510,0.0235294118,0,558,0,0.0525322021,1
IL1R1,YES,4,510,0.0235294118,0,558,0,0.0525322021,1
NAA50,YES,4,510,0.0235294118,0,558,0,0.0525322021,1
DAP,YES,13,170,0.0764705882,5,186,0.0268817204,0.053161233,1
AP1M1,YES,4,170,0.0235294118,0,186,0,0.0536008549,1
ARMC6,YES,4,170,0.0235294118,0,186,0,0.0536008549,1
MAP3K15;PDHA1,YES,35,340,0.2058823529,22,372,0.1182795699,0.0538809863,1
UNC119,YES,44,170,0.2588235294,29,186,0.1559139785,0.0548061108,1
SUMO3,YES,73,850,0.4294117647,56,930,0.3010752688,0.0555921664,1
MZB1,NO,8,340,0.0470588235,2,372,0.0107526882,0.0558644669,-
HES6,YES,8,510,0.0470588235,2,558,0.0107526882,0.0558730202,1
TRA2A,YES,22,680,0.1294117647,12,744,0.064516129,0.0566702385,1
POU3F2,NO,26,680,0.1529411765,15,744,0.0806451613,0.0567549766,-
RSPH1,YES,24,170,0.1411764706,13,186,0.0698924731,0.0572548369,1
CPLX4,YES,31,340,0.1823529412,19,372,0.1021505376,0.0574254413,1
IL21,NO,31,510,0.1823529412,19,558,0.1021505376,0.0592598155,-
SLC15A2,YES,6,340,0.0352941176,1,372,0.0053763441,0.0600877749,1
SLC6A20,YES,6,340,0.0352941176,1,372,0.0053763441,0.0600877749,1
TSPO,YES,47,170,0.2764705882,31,186,0.1666666667,0.0602832454,1
CUL9,NO,6,170,0.0352941176,1,186,0.0053763441,0.0605807452,-
DHCR24,YES,0,170,0,5,186,0.0268817204,0.0628778412,1
FHOD3;TPGS2,YES,0,170,0,5,186,0.0268817204,0.0628778412,1
SLC9A2,NO,0,170,0,5,186,0.0268817204,0.0628778412,-
TMEM155,NO,0,170,0,5,186,0.0268817204,0.0628778412,-
EXOC4,YES,41,510,0.2411764706,28,558,0.1505376344,0.0631904279,1
NELL1,YES,0,510,0,5,558,0.0268817204,0.0634416742,1
SLC2A12,NO,0,510,0,5,558,0.0268817204,0.0634416742,-
CCL4L1;CCL4L2,NO,0,214,0,5,246,0.0477335165,0.0651099258,-
ANKRD46,YES,11,170,0.0647058824,4,186,0.0215053763,0.0654994954,1
CCDC102A,YES,69,1020,0.4058823529,102,1116,0.5483870968,0.06713256,1
TECPR2,YES,105,850,0.6176470588,86,930,0.4623655914,0.0672886601,1
RMDN1,YES,73,680,0.4294117647,57,744,0.3064516129,0.0675287677,1
BCL2L10,YES,72,340,0.4235294118,55,372,0.2956989247,0.067553963,1
DEFB1,YES,2,340,0.0117647059,9,372,0.0483870968,0.0676368272,1
ABRAXAS2,YES,2,510,0.0117647059,9,558,0.0483870968,0.0678509088,1
CYB5R2,YES,271,850,1.5941176471,353,930,1.8978494624,0.0689358356,1
PABPC3,YES,14,850,0.0823529412,6,930,0.0322580645,0.0694590657,1
OR52L1,NO,20,510,0.1176470588,11,558,0.0591397849,0.0704443642,-
SNX19,YES,1,170,0.0058823529,7,186,0.0376344086,0.0712921202,1
MRPL48,YES,16,340,0.0941176471,32,372,0.1720430108,0.0719805506,1
CREB3L1,YES,1,680,0.0058823529,7,744,0.0376344086,0.0721619785,1
MTCL1,YES,8,170,0.0470588235,19,186,0.1021505376,0.0746449344,1
CPLX2,NO,277,850,1.6294117647,254,930,1.3655913978,0.0752010117,-
IL15RA,YES,25,340,0.1470588235,15,372,0.0806451613,0.0752129445,1
PDLIM5,YES,38,170,0.2235294118,25,186,0.1344086022,0.0758049772,1
ZKSCAN5,YES,39,510,0.2294117647,27,558,0.1451612903,0.0768657829,1
SKI,YES,25,680,0.1470588235,15,744,0.0806451613,0.0774297595,1
CENPP;IPPK,YES,15,170,0.0882352941,7,186,0.0376344086,0.0787469003,1
LILRB3,NO,15,170,0.0882352941,7,186,0.0376344086,0.0787469003,-
PDK1,YES,9,170,0.0529411765,3,186,0.0161290323,0.0800402506,1
PRMT8,NO,9,340,0.0529411765,3,372,0.0161290323,0.0805605727,-
SHISA5,YES,9,510,0.0529411765,3,558,0.0161290323,0.0807974513,1
C19orf24,YES,4,680,0.0235294118,12,744,0.064516129,0.0810244316,1
TTC39C,YES,130,1328,0.9055898289,112,1450,0.6989195374,0.0813419229,1
CDHR5,NO,165,510,0.9705882353,144,558,0.7741935484,0.0815464948,-
TBC1D21,NO,28,170,0.1647058824,17,186,0.0913978495,0.0816107154,-
ZNF546,YES,26,340,0.1529411765,16,372,0.0860215054,0.0817735049,1
TNRC6A,YES,40,170,0.2352941176,27,186,0.1451612903,0.0836170054,1
CD177,NO,43,340,0.2529411765,30,372,0.1612903226,0.0847960108,-
KIAA0355,YES,156,510,0.9176470588,135,558,0.7258064516,0.0854206546,1
SSTR5,NO,121,1700,0.7117647059,104,1860,0.5591397849,0.085459571,-
GLP2R,NO,107,510,0.6294117647,89,558,0.4784946237,0.0871890259,-
TEX19,YES,57,340,0.3352941176,43,372,0.2311827957,0.0881536025,1
TESPA1,NO,38,340,0.2235294118,26,372,0.1397849462,0.0893641217,-
KRTAP3-1,NO,51,510,0.3,78,558,0.4193548387,0.0924430462,-
AGTR1,NO,60,170,0.3529411765,44,186,0.2365591398,0.0942401193,-
WBP2,YES,3,170,0.0176470588,10,186,0.0537634409,0.0947422373,1
AKR1E2,YES,16,340,0.0941176471,8,372,0.0430107527,0.0950954386,1
ATP5B,YES,7,170,0.0411764706,2,186,0.0107526882,0.0962000814,1
CCDC185,NO,7,170,0.0411764706,2,186,0.0107526882,0.0962000814,-
GMNC,NO,7,170,0.0411764706,2,186,0.0107526882,0.0962000814,-
PGF,YES,7,340,0.0411764706,2,372,0.0107526882,0.096231757,1
DNAH8,NO,7,340,0.0411764706,2,372,0.0107526882,0.096231757,-
VSX1,NO,7,340,0.0411764706,2,372,0.0107526882,0.096231757,-
ZKSCAN3,YES,96,850,0.5647058824,80,930,0.4301075269,0.0966956635,1
N4BP2,YES,5,170,0.0294117647,14,186,0.0752688172,0.096934814,1
INHBA,NO,20,340,0.1176470588,11,372,0.0591397849,0.0970869746,-
DPYSL4,NO,37,170,0.2176470588,25,186,0.1344086022,0.0986044999,-
TCHP,YES,19,510,0.1117647059,11,558,0.0591397849,0.0986247944,1
HEPACAM2,NO,10,340,0.0588235294,21,372,0.1129032258,0.1003378466,-
ZNF57,YES,10,170,0.0588235294,4,186,0.0215053763,0.1037996643,1
PPP6R3,YES,35,680,0.2058823529,56,744,0.3010752688,0.1038406849,1
TNIP1,YES,10,340,0.0588235294,4,372,0.0215053763,0.1050928966,1
VANGL2,YES,3,152,0.0197368421,0,172,0,0.1054132337,1
LRRC15,NO,129,850,0.7588235294,173,930,0.9301075269,0.1055758726,-
PPP1R14C,YES,21,680,0.1235294118,37,744,0.1989247312,0.1067539276,1
VWDE,NO,183,510,1.0764705882,163,558,0.876344086,0.1076297601,-
S100A14,YES,157,340,0.9235294118,212,372,1.1397849462,0.1079475527,1
HOOK2,YES,3,168,0.0178571429,0,186,0,0.1088892908,1
FMN1,YES,39,340,0.2294117647,61,372,0.3279569892,0.1089131824,1
AKT1,YES,3,510,0.0176470588,0,558,0,0.1095613242,1
PLOD3,YES,3,510,0.0176470588,0,558,0,0.1095613242,1
TACO1,YES,3,510,0.0176470588,0,558,0,0.1095613242,1
SPRR4,NO,3,510,0.0176470588,0,558,0,0.1095613242,-
DAAM2;MOCS1,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
FSTL3,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
KBTBD2,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
MAPK4,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
NDEL1,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
NR2F6,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
SLC12A5,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
SLC47A1,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
WDR1,YES,3,340,0.0176470588,0,372,0,0.1098957309,1
OR13A1,NO,3,340,0.0176470588,0,372,0,0.1098957309,-
COL3A1,NO,5,680,0.0294117647,1,744,0.0053763441,0.1102612534,-
LITAF,YES,5,340,0.0294117647,1,372,0.0053763441,0.110496383,1
RBM24,YES,22,170,0.1294117647,13,186,0.0698924731,0.1105058112,1
ATG4C,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
DPP6,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
EML5,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
GREB1,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
PFKFB4,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
RHBDF2,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
SLC35A3,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
SNX27,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
SYNGR3,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
TKFC,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
VPS25,YES,3,170,0.0176470588,0,186,0,0.1108983205,1
KCNJ5,NO,3,170,0.0176470588,0,186,0,0.1108983205,-
KRTAP8-1,NO,3,170,0.0176470588,0,186,0,0.1108983205,-
STARD13,NO,3,170,0.0176470588,0,186,0,0.1108983205,-
MOB3A,YES,2,170,0.0117647059,8,186,0.0430107527,0.1109269625,1
PLCG2,YES,2,170,0.0117647059,8,186,0.0430107527,0.1109269625,1
MAPK15,NO,2,170,0.0117647059,8,186,0.0430107527,0.1109269625,-
ACSM6,NO,5,170,0.0294117647,1,186,0.0053763441,0.1110062281,-
CCDC88C,YES,2,680,0.0117647059,8,744,0.0430107527,0.1123398689,1
MOB3B,YES,20,170,0.1176470588,36,186,0.1935483871,0.1125782943,1
ZNF417,NO,80,170,0.4705882353,63,186,0.3387096774,0.1131493834,-
ARHGEF39;CCDC107,YES,48,170,0.2823529412,35,186,0.188172043,0.1131949761,1
HLA-A,YES,54,294,0.5510204082,37,294,0.3775510204,0.1144750802,1
CDCA7,YES,6,170,0.0352941176,15,186,0.0806451613,0.1147701181,1
CDCA8,YES,95,170,0.5588235294,77,186,0.4139784946,0.1149539802,1
KLHDC7A,YES,162,680,0.9529411765,145,744,0.7795698925,0.1157704218,1
MED21,YES,96,848,0.5647058824,82,930,0.4408602151,0.1161839378,1
ALDOB,NO,122,680,0.7176470588,106,744,0.5698924731,0.1164067292,-
PDK4,NO,21,340,0.1235294118,13,372,0.0698924731,0.1172979137,-
OSMR,YES,21,510,0.1235294118,13,558,0.0698924731,0.1186736377,1
TLL2,YES,23,170,0.1352941176,14,186,0.0752688172,0.1196600505,1
KCNAB2,NO,26,510,0.1529411765,17,558,0.0913978495,0.1197412548,-
CNR2,YES,403,680,2.3705882353,383,744,2.0591397849,0.1198328897,1
PACRGL,YES,9,170,0.0529411765,19,186,0.1021505376,0.1200030689,1
ATOH8,NO,44,340,0.2588235294,33,372,0.1774193548,0.1206573638,-
YWHAB,YES,81,1322,0.4896808126,115,1486,0.6183964469,0.1206633889,1
ST7L,YES,27,170,0.1588235294,45,186,0.2419354839,0.1210451181,1
SLC35E1,YES,6,680,0.0352941176,15,744,0.0806451613,0.1214445375,1
EPHA6,NO,4,170,0.0235294118,11,186,0.0591397849,0.1216549183,-
ATG4A,YES,4,170,0.0235294118,12,186,0.064516129,0.1219894148,1
MOAP1,YES,248,340,1.4588235294,225,372,1.2096774194,0.1230628798,1
GIMAP7,NO,60,324,0.3635531136,50,372,0.2688172043,0.1243663911,-
LIPJ,NO,0,170,0,4,184,0.0217391304,0.1247988843,-
CRYBB2,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
MAFF,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
PPM1E;TRIM37,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
PRKG2,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
TSPYL4,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
TUSC3,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
ZNF749,YES,0,170,0,4,186,0.0215053763,0.1252297488,1
GPR148,NO,0,170,0,4,186,0.0215053763,0.1252297488,-
PEAR1,NO,0,170,0,4,186,0.0215053763,0.1252297488,-
AUH,YES,0,340,0,4,372,0.0215053763,0.1258485847,1
LILRA2,NO,0,340,0,4,372,0.0215053763,0.1258485847,-
PGA5,NO,0,340,0,4,372,0.0215053763,0.1258485847,-
AP2A1;FUZ,YES,0,510,0,4,558,0.0215053763,0.1260654682,1
PDE4A,YES,0,510,0,4,558,0.0215053763,0.1260654682,1
TRNT1,YES,0,680,0,4,742,0.0215638149,0.1260810508,1
CDKN1A,YES,12,1020,0.0705882353,23,1116,0.123655914,0.1264602283,1
SFPQ,YES,1,340,0.0058823529,6,372,0.0322580645,0.1266525404,1
SIGLEC1,NO,1,680,0.0058823529,6,744,0.0322580645,0.127135835,-
MS4A15,YES,1,1190,0.0058823529,6,1302,0.0322580645,0.127352724,1
IFNA10,NO,45,510,0.2647058824,34,558,0.1827956989,0.1294469395,-
MFF,YES,11,510,0.0647058824,5,558,0.0268817204,0.1296809222,1
C1orf21,YES,8,170,0.0470588235,3,186,0.0161290323,0.1301412624,1
MKX,NO,7,170,0.0411764706,16,186,0.0860215054,0.1322161458,-
GPR78,YES,17,340,0.1,30,372,0.1612903226,0.1334303779,1
FAM189B,YES,91,510,0.5352941176,77,558,0.4139784946,0.1350450311,1
IL15,YES,14,170,0.0823529412,26,186,0.1397849462,0.1354579394,1
TBC1D3F;TBC1D3G;TBC1D3H,NO,32,366,0.874719888,52,418,0.8522674147,0.1363409094,-
PPP2R2D,YES,48,340,0.2823529412,71,372,0.3817204301,0.1378222782,1
BAZ1A,YES,22,504,0.130952381,36,538,0.2019975031,0.1378713573,1
SMIM8,YES,325,676,1.9260807938,307,738,1.6689964158,0.1379436366,1
PASD1,YES,51,850,0.3,74,930,0.3978494624,0.1388987959,1
SPATA13,YES,101,340,0.5941176471,86,372,0.4623655914,0.1391988871,1
TTK,YES,28,340,0.1647058824,45,372,0.2419354839,0.1400461891,1
EMB,NO,25,170,0.1470588235,42,186,0.2258064516,0.1415307004,-
ANTXR2,NO,11,170,0.0647058824,22,186,0.1182795699,0.1441703775,-
MAPRE2,YES,5,170,0.0294117647,13,186,0.0698924731,0.1448655706,1
RBMS3,NO,24,340,0.1411764706,16,372,0.0860215054,0.1452854332,-
TRIM44,YES,26,170,0.1529411765,17,186,0.0913978495,0.145783554,1
FAM47B,NO,58,170,0.3411764706,45,186,0.2419354839,0.1458526679,-
ATP6V1H,YES,16,170,0.0941176471,9,186,0.0483870968,0.1475682235,1
YKT6,YES,16,170,0.0941176471,9,186,0.0483870968,0.1475682235,1
MRPL49,YES,3,170,0.0176470588,9,186,0.0483870968,0.1480996476,1
PRPF19,YES,3,340,0.0176470588,9,372,0.0483870968,0.1493320552,1
MRI1,YES,64,170,0.3764705882,93,186,0.5,0.1501542775,1
SLC29A3,YES,19,510,0.1117647059,32,558,0.1720430108,0.1531896301,1
APMAP,YES,27,170,0.1588235294,18,186,0.0967741935,0.1540287926,1
LIPH,YES,61,170,0.3588235294,48,186,0.2580645161,0.1547260704,1
DBH,YES,22,170,0.1294117647,37,186,0.1989247312,0.158983877,1
C11orf63,YES,110,170,0.6470588235,93,186,0.5,0.1595035566,1
BEX4,YES,86,340,0.5058823529,73,372,0.3924731183,0.160693393,1
DGKG,NO,20,510,0.1176470588,33,558,0.1774193548,0.1615096293,-
HBQ1,YES,9,170,0.0529411765,4,186,0.0215053763,0.1615683773,1
RWDD3,YES,9,170,0.0529411765,4,186,0.0215053763,0.1615683773,1
AIFM2,YES,6,170,0.0352941176,2,186,0.0107526882,0.1626090625,1
ALKBH7;PSPN,YES,6,170,0.0352941176,2,186,0.0107526882,0.1626090625,1
GEMIN8,YES,6,170,0.0352941176,2,186,0.0107526882,0.1626090625,1
TRIM2,YES,6,170,0.0352941176,2,186,0.0107526882,0.1626090625,1
C16orf52,YES,6,340,0.0352941176,2,372,0.0107526882,0.1628202926,1
JADE3,YES,6,340,0.0352941176,2,372,0.0107526882,0.1628202926,1
SEMA4B,YES,6,340,0.0352941176,2,372,0.0107526882,0.1628202926,1
PWP1,YES,6,510,0.0352941176,2,558,0.0107526882,0.1629178127,1
SYNGR2,YES,6,510,0.0352941176,2,558,0.0107526882,0.1629178127,1
WIPF3,YES,9,340,0.0529411765,4,372,0.0215053763,0.1632522734,1
COG7,YES,23,170,0.1352941176,38,186,0.2043010753,0.1655152341,1
BPHL,YES,9,170,0.0529411765,18,186,0.0967741935,0.1655331294,1
DGKH,NO,12,510,0.0705882353,22,558,0.1182795699,0.1661199393,-
CDH24,YES,6,336,0.0361445783,2,360,0.011112483,0.1662752253,1
GDF15,YES,144,510,0.8470588235,188,558,1.0107526882,0.16645189,1
DISP3,NO,65,340,0.3823529412,54,372,0.2903225806,0.1672830767,-
TMEM268,YES,29,170,0.1705882353,20,186,0.1075268817,0.169827977,1
POC1A,YES,18,170,0.1058823529,31,186,0.1666666667,0.1700658268,1
GALNT17,NO,18,170,0.1058823529,31,186,0.1666666667,0.1700658268,-
C11orf96,NO,16,510,0.0941176471,10,558,0.0537634409,0.1713761299,-
HTR1D,NO,140,508,0.8279411765,127,556,0.6857760636,0.1717358657,-
BMP2K,YES,6,340,0.0352941176,14,372,0.0752688172,0.1718138245,1
SLC44A1,YES,6,340,0.0352941176,14,372,0.0752688172,0.1718138245,1
LCE5A,NO,6,340,0.0352941176,14,372,0.0752688172,0.1718138245,-
CASP14,NO,66,170,0.3882352941,54,186,0.2903225806,0.1721546549,-
CCDC179,NO,84,340,0.4941176471,115,372,0.6182795699,0.1725453982,-
TNPO2,YES,13,340,0.0764705882,7,372,0.0376344086,0.1729086192,1
MN1,NO,122,806,0.7631160572,156,858,0.9290322581,0.1732164909,-
FMNL2,YES,79,340,0.4647058824,67,372,0.3602150538,0.1733167363,1
AKR7L,NA,6,510,0.0352941176,13,558,0.0698924731,0.1737223678,1
NLRP12,YES,6,510,0.0352941176,13,558,0.0698924731,0.1737223678,1
CCDC42,NO,52,340,0.3058823529,75,372,0.4032258065,0.1766148169,-
FAM71F1,NO,23,340,0.1352941176,37,372,0.1989247312,0.179062405,-
FBXO39,NO,47,170,0.2764705882,36,186,0.1935483871,0.17974138,-
ACSM1,NO,46,170,0.2705882353,36,186,0.1935483871,0.180056137,-
ARRB2,YES,2,170,0.0117647059,7,186,0.0376344086,0.1808342933,1
PPFIBP2,YES,2,170,0.0117647059,7,186,0.0376344086,0.1808342933,1
RNF34,YES,10,170,0.0588235294,19,186,0.1021505376,0.181310346,1
APOD,YES,189,482,1.1152444076,234,510,1.2656298003,0.1815679068,1
ZNF587,YES,39,2380,0.2294117647,30,2604,0.1612903226,0.1816183247,1
PPP1R37,NO,24,170,0.1411764706,16,186,0.0860215054,0.1817402066,-
MYO1E,YES,2,340,0.0117647059,7,372,0.0376344086,0.1821540997,1
HAPLN1,YES,4,170,0.0235294118,10,186,0.0537634409,0.1821862206,1
KIF6,YES,4,170,0.0235294118,10,186,0.0537634409,0.1821862206,1
AACS,YES,2,510,0.0117647059,7,558,0.0376344086,0.1826349275,1
KISS1,NO,17,662,0.1064535169,11,732,0.0606918151,0.1842754035,-
ADRB2,NO,130,336,0.7733522325,118,372,0.6344086022,0.1846208039,-
CNIH3,YES,43,170,0.2529411765,64,186,0.3440860215,0.1851409073,1
CLCNKA,NO,23,316,0.1372280419,16,348,0.0860215054,0.1887396525,-
LCE1C,NO,15,170,0.0882352941,26,186,0.1397849462,0.1894536063,-
CLMP,YES,10,680,0.0588235294,19,744,0.1021505376,0.189536664,1
MAGEA1,YES,31,340,0.1823529412,47,372,0.252688172,0.1902619565,1
BRD9,YES,10,170,0.0588235294,5,186,0.0268817204,0.190355434,1
KIFC3,YES,10,1020,0.0588235294,19,1116,0.1021505376,0.1906870725,1
USH1C,NO,218,510,1.2823529412,276,558,1.4838709677,0.1907301985,-
COL17A1,NO,40,170,0.2352941176,30,186,0.1612903226,0.1907535282,-
DNA2,YES,49,170,0.2882352941,39,186,0.2096774194,0.1921679059,1
SLC1A7,NO,14,340,0.0823529412,8,372,0.0430107527,0.1931351148,-
UPP2,NO,14,340,0.0823529412,8,372,0.0430107527,0.1931351148,-
SCARA5,YES,36,170,0.2117647059,54,186,0.2903225806,0.1952827542,1
SULF1,NO,111,680,0.6529411765,146,744,0.7849462366,0.1970243363,-
NMRK1,YES,25,510,0.1470588235,39,558,0.2096774194,0.1981466568,1
SNX2,YES,686,1508,4.0835502288,818,1656,4.4455352969,0.1982918908,1
OAF,YES,4,510,0.0235294118,1,558,0.0053763441,0.199854287,1
PTH2R,YES,4,510,0.0235294118,1,558,0.0053763441,0.199854287,1
ARHGEF9,YES,4,340,0.0235294118,1,372,0.0053763441,0.1999858171,1
FBXO25,YES,4,340,0.0235294118,1,372,0.0053763441,0.1999858171,1
ERGIC1,NO,4,340,0.0235294118,1,372,0.0053763441,0.1999858171,-
HAND2,NO,4,340,0.0235294118,1,372,0.0053763441,0.1999858171,-
CALD1,YES,4,170,0.0235294118,1,186,0.0053763441,0.2004053232,1
LSM6,YES,4,170,0.0235294118,1,186,0.0053763441,0.2004053232,1
MAN2B1,YES,4,170,0.0235294118,1,186,0.0053763441,0.2004053232,1
C16orf95,NO,4,170,0.0235294118,1,186,0.0053763441,0.2004053232,-
NPIPA2;NPIPA3,NO,4,170,0.0235294118,1,186,0.0053763441,0.2004053232,-
FAM110C,NO,26,170,0.1529411765,18,186,0.0967741935,0.2006773445,-
CT62,NO,22,170,0.1294117647,36,186,0.1935483871,0.2012664541,-
