Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000162931,TRIM17,0.07,0.22,1.63,0.05,0.27,2.53
ENSG00000162944,RFTN2,0.01,0.77,7.27,0.29,0.76,1.40
ENSG00000162946,DISC1,0.17,0.01,-4.41,0.12,0.01,-3.96
ENSG00000162949,CAPN13,7.03,1.89,-1.89,6.94,0.68,-3.36
ENSG00000162951,LRRTM1,0.00,0.18,Inf,0.00,0.22,Inf
ENSG00000162959,MEMO1,0.62,0.66,0.09,0.47,0.78,0.75
ENSG00000162961,DPY30,28.97,44.15,0.61,21.21,53.77,1.34
ENSG00000162971,TYW5,0.25,2.21,3.15,0.33,2.64,2.99
ENSG00000162972,MAIP1,11.71,30.08,1.36,9.66,36.20,1.91
ENSG00000162975,KCNF1,0.00,0.15,Inf,0.00,0.18,Inf
ENSG00000162976,PQLC3,22.06,30.19,0.45,17.48,35.65,1.03
ENSG00000162980,ARL5A,2.68,2.80,0.06,2.12,3.25,0.62
ENSG00000162981,FAM84A,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000162989,KCNJ3,0.06,0.17,1.64,0.04,0.22,2.55
ENSG00000162992,NEUROD1,0.05,0.02,-1.47,0.03,0.02,-0.57
ENSG00000162994,CLHC1,0.64,1.01,0.66,0.95,0.87,-0.13
ENSG00000162998,FRZB,0.09,6.64,6.20,0.08,8.28,6.63
ENSG00000162999,DUSP19,12.97,0.77,-4.08,9.02,0.68,-3.74
ENSG00000163001,CFAP36,4.32,4.91,0.19,3.45,5.71,0.73
ENSG00000163002,NUP35,44.72,27.07,-0.72,45.96,21.73,-1.08
ENSG00000163006,CCDC138,3.55,3.12,-0.19,2.70,3.65,0.43
ENSG00000163012,ZSWIM2,0.18,0.01,-4.45,0.13,0.00,-Inf
ENSG00000163013,FBXO41,1.23,0.14,-3.11,0.88,0.13,-2.73
ENSG00000163017,ACTG2,9.09,3.34,-1.44,6.94,3.52,-0.98
ENSG00000163026,WDCP,28.67,7.26,-1.98,24.33,5.17,-2.23
ENSG00000163029,SMC6,7.86,5.25,-0.58,5.69,6.22,0.13
ENSG00000163032,VSNL1,0.02,2.26,7.24,0.01,2.83,8.14
ENSG00000163040,CCDC74A,0.04,0.08,1.26,0.06,0.08,0.37
ENSG00000163041,H3F3A,2.15,5.91,1.46,5.82,4.10,-0.51
ENSG00000163046,ANKRD30BL,0.03,0.02,-0.58,0.05,0.01,-3.22
ENSG00000163050,COQ8A,1.52,6.57,2.12,1.74,7.67,2.14
ENSG00000163053,SLC16A14,0.01,0.21,5.42,0.01,0.26,4.29
ENSG00000163060,TEKT4,0.19,0.07,-1.49,0.13,0.08,-0.83
ENSG00000163064,EN1,0.01,0.50,5.65,0.06,0.59,3.29
ENSG00000163069,SGCB,0.95,10.21,3.43,2.08,11.68,2.49
