Gene,Expressed,AC_Patient,AN_Patient,AF_Patient,AC_gnomAD,AN_gnomAD,AF_gnomAD,pVal,FDR
ELAVL3,YES,117,356,0.3286516854,94,13472,0.0069774347,5.97563498519693E-119,1.44072559493098E-115
MAP3K12;PCBP2,YES,97,356,0.2724719101,77,14352,0.0053651059,1.1594502586841E-102,1.39771728684368E-99
TOMM22,YES,144,356,0.404494382,565,13386,0.0422082773,4.94722377685404E-73,3.97591884199837E-70
ZNF28,YES,279,322,0.8664596273,628,3020,0.2079470199,8.20287843125911E-51,4.94428497444143E-48
ZBTB16,YES,37,356,0.1039325843,31,12284,0.0025236079,2.35237538074895E-38,1.13431540859714E-35
DHX40,YES,42,356,0.1179775281,110,14398,0.00763995,3.98155347184482E-31,1.59992090343631E-28
RIMS3,YES,18,352,0.0511363636,4,14496,0.0002759382,5.9262747174626E-26,2.04117833482891E-23
ZNF99,YES,617,5336,1.7357011363,17427,215420,1.2678660642,2.46177300482915E-15,7.41916839330387E-13
SMURF2,YES,44,658,0.1348224896,131,6804,0.0711341341,3.03773602898008E-10,8.13775729541219E-08
PRIM2,YES,424,712,1.191011236,11895,29276,0.8158777361,1.55168585572005E-09,3.74111459814104E-07
MAP2K3,YES,356,712,1,9984,29988,0.6658663465,1.75452192512069E-09,3.84559305587817E-07
MAP3K15;PDHA1,YES,57,712,0.1601123596,677,21193,0.0638881596,8.59975442917555E-09,1.56822141481788E-06
STK35,YES,8,356,0.0224719101,11,14034,0.0007838107,9.10622140499805E-09,1.56822141481788E-06
TTC39C,YES,19,636,0.0610943934,1329,14118,0.2740120883,8.52910119369706E-09,1.56822141481788E-06
XAGE3,YES,655,1068,1.8398876404,11477,25156,1.3786793955,9.79887031452936E-09,0.000001575
POTEM,YES,112,1384,0.3174742246,1467,33600,0.2260645663,1.72815021357253E-08,2.6041063530771E-06
BOD1,YES,96,712,0.2696629213,1956,28392,0.137620327,2.1785246880133E-08,3.0896606016471E-06
VCX,YES,124,700,0.3549198263,767,7954,0.1836953225,3.9053010270689E-08,5.23093376459062E-06
BCAS4,YES,16,712,0.0449438202,110,30004,0.0073323558,5.06009157347356E-08,6.09994039182238E-06
UMODL1,YES,20,356,0.0561797753,2451,14624,0.1676012035,5.04237314208742E-08,6.09994039182238E-06
ARID3B,YES,125,1780,0.3511235955,3049,74494,0.2037794114,8.27178089218315E-08,9.49679225288266E-06
GPR161,YES,29,2492,0.0814606742,376,103904,0.0255043188,1.82575308906818E-07,2.00085940806518E-05
PPDPF,YES,45,356,0.1264044944,1129,4134,0.2731011127,2.69792233904026E-07,2.82812641714177E-05
ZDHHC11,YES,513,3474,1.4615974625,24305,130240,2.0465270423,0.000000534,5.36473396197829E-05
ANO5,YES,6,356,0.0168539326,7,12838,0.0005452563,5.93398097492815E-07,5.7227312522207E-05
HLA-DRB1,YES,422,1872,2.2774236477,41574,141600,2.9506458412,6.51352886108741E-07,6.04004541695451E-05
S100A4,YES,10,712,0.0280898876,48,28638,0.0032516434,1.34715800046006E-06,0.0001202962
TOR1B,YES,22,354,0.0621468927,1766,11812,0.1495089739,0.000010242,0.0008819134
EXT1,YES,126,356,0.3539325843,3063,13730,0.2230881282,2.23244514065755E-05,0.0018415498
SREBF2,YES,28,712,0.0786516854,2494,29922,0.1666997928,2.29143482601313E-05,0.0018415498
ROCK2,YES,10,356,0.0280898876,1347,14978,0.0899319001,2.57832244277165E-05,0.0020052695
SLC7A2,YES,49,1068,0.1376404494,1098,45004,0.0731944697,0.0001036295,0.0078078373
SEPT9,YES,711,4270,1.997746461,22906,161382,2.2041151253,0.0001307215,0.0093046527
SLC6A19,YES,96,708,0.2701098059,6068,29892,0.4064218505,0.0001312145,0.0093046527
TERF2,YES,8,356,0.0224719101,58,15014,0.0038630611,0.0001542332,0.0106244646
MPHOSPH8,YES,608,882,1.7478189028,24199,28838,1.9969578115,0.0002208888,0.0147784782
RAB41,YES,32,712,0.0898876404,445,21140,0.0422387422,0.000230522,0.0147784782
RAC1,YES,149,878,0.5338235294,7673,32756,0.7721285151,0.000232925,0.0147784782
PSCA,YES,1193,3204,3.3511235955,56553,134036,3.7993693785,0.0002528419,0.0156308161
EPCAM,YES,24,352,0.0681818182,2100,15002,0.1399813358,0.0003019774,0.0182016908
UBL4A,YES,133,712,0.3735955056,2704,20756,0.2605518605,0.000309731,0.0182136943
MRNIP;SQSTM1,YES,4,356,0.0112359551,11,15000,0.0007333333,0.0003291612,0.018895421
HAP1,YES,15,712,0.0421348315,225,29958,0.0150208143,0.0006114708,0.0342850233
RAB7A,YES,64,1068,0.1797752809,1667,44202,0.1129762016,0.0007596279,0.0414425743
UHRF1BP1,YES,3,356,0.0084269663,623,15006,0.0415167266,0.000773503,0.0414425743
PLXND1,YES,120,1424,0.3370786517,3610,59864,0.2413631995,0.0008647204,0.0453226272
HPF1,YES,22,356,0.0617977528,400,15002,0.0266631116,0.000923636,0.0473805638
GREB1,YES,3,356,0.0084269663,6,15004,0.0003998934,0.0009561536,0.0480267967
CREBRF,YES,304,1068,0.8539325843,9273,40552,0.7152741625,0.0010938562,0.0538221907
DAZAP1,YES,49,480,0.201931092,288,4926,0.0935843888,0.0012436042,0.0596960069
SLC26A6,YES,15,356,0.0421348315,241,14964,0.0161053194,0.0012627525,0.0596960069
INTS14,YES,34,356,0.095505618,767,15012,0.0510924594,0.0013021293,0.0603737279
SNX1,YES,7,712,0.0196629213,64,29962,0.0042722037,0.0013515749,0.0614839077
OTULIN,YES,9,356,0.0252808989,104,15006,0.0069305611,0.0014165727,0.0632473477
HMOX1,YES,4,356,0.0112359551,18,15010,0.0011992005,0.00154336,0.0664700051
SNUPN,YES,62,356,0.1741573034,4005,14980,0.2673564753,0.0015438906,0.0664700051
PYM1,YES,2,356,0.0056179775,1,14982,6.67467627820051E-05,0.0016040626,0.0678490319
CFAP20,YES,30,356,0.0842696629,653,15010,0.0435043304,0.0018923634,0.0786635885
ATG16L1,YES,6,356,0.0168539326,50,15002,0.0033328889,0.0019427536,0.0793894719
FAIM2,YES,8,356,0.0224719101,90,14958,0.0060168472,0.002224492,0.089387503
C2CD2L,YES,30,356,0.0842696629,674,15012,0.0448974154,0.0022857213,0.0903421984
HTR3C,YES,3,356,0.0084269663,9,14978,0.0006008813,0.0023870747,0.0916500763
TTBK2,YES,20,356,0.0561797753,384,14918,0.0257407159,0.0023948382,0.0916500763
NAA50,YES,4,1068,0.0112359551,21,44924,0.0014042195,0.0025075114,0.0944626566
FNBP1L,YES,1,356,0.0028089888,391,14992,0.0260805763,0.0027595742,0.1023589755
MPP2,YES,2,356,0.0056179775,2,14944,0.000133833,0.0031736334,0.1125239721
S100A5,YES,2,356,0.0056179775,2,14972,0.0001335827,0.0031622336,0.1125239721
S100A6,YES,2,356,0.0056179775,2,14996,0.0001333689,0.0031525111,0.1125239721
BCL9L,YES,178,356,0.5,7798,11900,0.6552941176,0.0035101627,0.1209000339
KLHL23;PHOSPHO2-KLHL23,YES,791,1472,3.1114048047,31336,51190,2.884936127,0.0034847797,0.1209000339
HHLA1,YES,11,356,0.0308988764,1067,14996,0.0711523073,0.0037113295,0.1260283878
OAF,YES,4,712,0.0112359551,24,29802,0.0016106314,0.0039199051,0.1312623767
FAM234B,YES,3,356,0.0084269663,525,15012,0.0349720224,0.0040940675,0.1319090162
MED21,YES,120,712,0.3370786517,6713,29994,0.4477307363,0.0041580611,0.1319090162
SRSF6,YES,3,356,0.0084269663,515,14974,0.0343929478,0.0040327524,0.1319090162
VCX3A,YES,9,356,0.0252808989,42,5375,0.0078139535,0.0041170265,0.1319090162
ATP6V1D,YES,19,356,0.0533707865,384,15012,0.0255795364,0.0043131845,0.1350530873
PLCB1,YES,18,712,0.0505617978,353,30010,0.0235189987,0.0046416677,0.1434751377
FAM227A,YES,25,712,0.0702247191,554,29964,0.0369800053,0.0050168804,0.1505232296
GCNT3,YES,15,356,0.0421348315,276,15000,0.0184,0.005001402,0.1505232296
MCTP1,YES,2,356,0.0056179775,3,14982,0.0002002403,0.0051818449,0.1505232296
SATB1,YES,2,356,0.0056179775,3,14992,0.0002001067,0.0051752549,0.1505232296
YWHAB,YES,173,1754,0.4921560488,5431,69486,0.3822578658,0.0051348513,0.1505232296
DCAKD,YES,5,62,0.0806451613,238,13930,0.0170854271,0.0056859229,0.1612795295
LIMCH1,YES,4,356,0.0112359551,27,14994,0.0018007203,0.0056361277,0.1612795295
LRRC39;TRMT13,YES,62,356,0.1741573034,1744,14978,0.1164374416,0.0059018484,0.1654576337
HTATSF1,YES,2,356,0.0056179775,2,10546,0.0001896454,0.0061705419,0.1671592879
TNS3,YES,10,712,0.0280898876,157,30004,0.0104656891,0.0061054553,0.1671592879
ZHX3,YES,42,356,0.1179775281,2733,14974,0.1825163617,0.0060437157,0.1671592879
DHRS12,YES,96,712,0.2696629213,5420,29938,0.3622823963,0.0064385195,0.1724807832
CMTR1,YES,17,712,0.047752809,338,29980,0.0225471923,0.0067039826,0.176135233
STAT5B,YES,3,356,0.0084269663,14,15010,0.0009327115,0.0067210458,0.176135233
SH3PXD2B,YES,6,356,0.0168539326,63,14348,0.0043908559,0.0068038371,0.1763876485
PPP1R3B,YES,236,712,0.6629213483,8031,29862,0.5378742373,0.0070723558,0.1813984037
HSD17B12,YES,8,356,0.0224719101,825,15002,0.0549926676,0.0077311406,0.1832336357
MIS18BP1,YES,24,356,0.0674157303,545,14962,0.0364256115,0.0072311513,0.1832336357
MYDGF,YES,48,356,0.1348314607,1314,14990,0.087658439,0.0075258487,0.1832336357
PTH2R,YES,4,712,0.0112359551,30,30020,0.0019986676,0.0077519,0.1832336357
RIMKLB,YES,2,356,0.0056179775,4,15016,0.0002663825,0.0076194971,0.1832336357
TUBB4A,YES,2,356,0.0056179775,4,14936,0.0002678093,0.0076968894,0.1832336357
ZNF354B,YES,2,712,0.0056179775,4,29966,0.0002669693,0.0076219079,0.1832336357
ZNF573,YES,2,712,0.0056179775,4,29952,0.0002670406,0.0076286504,0.1832336357
NSF,YES,34,356,0.095505618,2290,14930,0.1533824514,0.0078884902,0.1846519405
GNB1L,YES,60,712,0.1685393258,1727,29958,0.1153332443,0.0081425479,0.1887661827
ECHS1,YES,6,356,0.0168539326,70,15006,0.0046648007,0.0087930006,0.2004238244
VCX2,YES,45,356,0.1264044944,542,6732,0.0805109923,0.0088116654,0.2004238244
HSPA2,YES,238,712,0.6685393258,9792,24022,0.6984090243,0.0089113396,0.2007966326
SLC5A6,YES,3,356,0.0084269663,16,14980,0.0010680908,0.0092993408,0.2075991731
ARRB2,YES,9,356,0.0252808989,142,15004,0.0094641429,0.0095061132,0.2102682479
PPIP5K2,YES,8,356,0.0224719101,797,14998,0.0531404187,0.010034928,0.2199473768
ZNF57,YES,14,356,0.0393258427,276,15010,0.0183877415,0.0102159451,0.2218976898
HIF1AN,YES,11,356,0.0308988764,971,14990,0.0647765177,0.0103926144,0.2237195842
DCUN1D2,YES,46,356,0.1292134831,2883,14966,0.1926366431,0.0108270466,0.2241036224
MDM2,YES,10,712,0.0280898876,172,30018,0.0114646408,0.0107967453,0.2241036224
OSTM1,YES,2,356,0.0056179775,5,14940,0.000334672,0.01060308,0.2241036224
TAMM41,YES,101,356,0.2837078652,5673,14982,0.3786543853,0.0108098046,0.2241036224
TTYH1,YES,19,712,0.0533707865,422,29862,0.0282186834,0.0108752069,0.2241036224
LMNB1,YES,37,712,0.1039325843,978,29998,0.065234294,0.0110866693,0.2249997003
TRIM44,YES,43,356,0.1207865169,2720,14978,0.1815996795,0.0111053357,0.2249997003
AKR1E2,YES,24,712,0.0674157303,1672,29982,0.1115335992,0.0119575111,0.2400266509
RNF169,YES,5,712,0.0140449438,587,30014,0.0391101783,0.0120461322,0.2400266509
ATAD3C,YES,20,354,0.0564971751,450,14918,0.0301649015,0.0125360056,0.247740242
ZNF181,YES,65,356,0.1825842697,1925,14976,0.1285389957,0.0130640738,0.2560770887
BICD2,YES,45,356,0.1264044944,1260,14996,0.084022406,0.0141459469,0.2704121982
CRELD2,YES,7,356,0.0196629213,102,14996,0.0068018138,0.014342807,0.2704121982
ICA1,YES,13,356,0.0365168539,1075,14982,0.07175277,0.0142855934,0.2704121982
LAGE3,YES,56,356,0.1573033708,1130,10491,0.1077113717,0.0143561847,0.2704121982
SEMA4B,YES,8,712,0.0224719101,127,29998,0.0084693879,0.0141343759,0.2704121982
ZNF486,YES,38,1068,0.106741573,1048,45010,0.0698502092,0.0146341203,0.2735105741
FAM149A,YES,25,356,0.0702247191,608,14998,0.0405387385,0.0155270899,0.285769571
PATL2,YES,13,712,0.0365168539,264,30004,0.0175966587,0.0155113624,0.285769571
CDK20,YES,3,356,0.0084269663,20,15016,0.0013319126,0.0157578808,0.2878200811
A4GALT,YES,217,1424,0.6095505618,10794,59394,0.7271066351,0.0167244562,0.3031779243
KRTAP2-1,NA,2,356,0.0056179775,7,14998,0.0004667289,0.017493171,0.3054676895
ACSF3,YES,1,356,0.0028089888,0,14934,0,0.0233470669,0.3054676895
AUH,YES,1,356,0.0028089888,0,15016,0,0.023222533,0.3054676895
C19orf54,YES,2,712,0.0056179775,7,29910,0.000468138,0.0175218896,0.3054676895
CCNDBP1,YES,1,356,0.0028089888,0,15016,0,0.023222533,0.3054676895
CDH17,YES,1,356,0.0028089888,0,15012,0,0.023228577,0.3054676895
CDK2AP2,YES,1,356,0.0028089888,0,14976,0,0.0232831149,0.3054676895
CDT1,YES,139,712,0.3904494382,4710,29942,0.3148170975,0.0229983818,0.3054676895
CDX2,YES,2,356,0.0056179775,7,14984,0.000467165,0.0175233626,0.3054676895
CHID1,YES,1,356,0.0028089888,0,14946,0,0.0233287591,0.3054676895
CHTOP,YES,17,356,0.047752809,1263,14992,0.0842449306,0.0182062519,0.3054676895
CPOX,YES,1,356,0.0028089888,0,15012,0,0.023228577,0.3054676895
CST4,YES,28,356,0.0786516854,1839,14922,0.1232408524,0.0201786439,0.3054676895
CTIF,YES,222,1424,0.6235955056,7861,59834,0.5269614211,0.0217461877,0.3054676895
DCAF12,YES,1,356,0.0028089888,0,15008,0,0.0232346241,0.3054676895
DDT;DDTL,YES,1,356,0.0028089888,0,14998,0,0.0232497558,0.3054676895
EPC2,YES,1,356,0.0028089888,0,15008,0,0.0232346241,0.3054676895
FAT1,YES,4,712,0.0112359551,496,30004,0.0330754335,0.0222095011,0.3054676895
FRMD3,YES,3,356,0.0084269663,23,15008,0.001532516,0.0219982433,0.3054676895
GNB5,YES,1,356,0.0028089888,0,15012,0,0.023228577,0.3054676895
HCLS1,YES,1,356,0.0028089888,0,14988,0,0.0232649071,0.3054676895
HERC2,YES,233,356,0.654494382,11995,14980,0.8007343124,0.0188379683,0.3054676895
IGHMBP2,YES,1,356,0.0028089888,0,14980,0,0.0232770424,0.3054676895
IL2RA,YES,12,712,0.0337078652,242,30012,0.0161290145,0.0194170281,0.3054676895
KCNJ12;KCNJ18,YES,599,1424,1.6825842697,21763,58084,1.4814247299,0.0200918056,0.3054676895
KLF10,YES,1,356,0.0028089888,0,15014,0,0.0232255546,0.3054676895
KRBA1,YES,1,356,0.0028089888,0,14990,0,0.0232618753,0.3054676895
LEFTY1,YES,28,1068,0.0786516854,736,44990,0.0490857321,0.0209828367,0.3054676895
MFSD9,YES,2,356,0.0056179775,7,14994,0.0004668534,0.0175017892,0.3054676895
MYL12B,YES,1,356,0.0028089888,0,15012,0,0.023228577,0.3054676895
NUBPL,YES,48,356,0.1348314607,2867,14972,0.1914907828,0.0232373754,0.3054676895
NUDT16L1,YES,1,356,0.0028089888,0,14992,0,0.0232588442,0.3054676895
ORAOV1,YES,14,1068,0.0393258427,297,45000,0.0197975739,0.0207257888,0.3054676895
PBX3,YES,1,356,0.0028089888,0,15016,0,0.023222533,0.3054676895
PEX19,YES,2,712,0.0056179775,8,30008,0.0005332267,0.0214374281,0.3054676895
PRR9,YES,1,356,0.0028089888,0,15004,0,0.0232406744,0.3054676895
PSMG4,YES,1,356,0.0028089888,0,15016,0,0.023222533,0.3054676895
RAB35,YES,80,1780,0.2247191011,2550,74970,0.1699934869,0.0214592131,0.3054676895
SAP30L,YES,1,356,0.0028089888,0,15014,0,0.0232255546,0.3054676895
SCGB3A2,YES,1,356,0.0028089888,0,15004,0,0.0232406744,0.3054676895
SENP5,YES,4,1068,0.0112359551,40,45026,0.0026655561,0.0188514901,0.3054676895
SMARCA2,YES,1,356,0.0028089888,0,14992,0,0.0232588442,0.3054676895
STAT3,YES,1,356,0.0028089888,0,14986,0,0.0232679398,0.3054676895
TBC1D9B,YES,21,356,0.058988764,1495,14970,0.0998663995,0.017555518,0.3054676895
TESMIN,YES,1,356,0.0028089888,0,14960,0,0.0233074362,0.3054676895
TIAL1,YES,1,356,0.0028089888,0,14874,0,0.0234390388,0.3054676895
TRMT11,YES,1,356,0.0028089888,0,14984,0,0.0232709732,0.3054676895
TSPAN14,YES,2,356,0.0056179775,8,14990,0.0005336891,0.0215516088,0.3054676895
WNT11,YES,2,712,0.0056179775,8,30004,0.0005331201,0.0214426645,0.3054676895
ZNF302,YES,1,356,0.0028089888,0,15012,0,0.023228577,0.3054676895
ZNF662,YES,2,356,0.0056179775,8,15006,0.0005331201,0.0215095401,0.3054676895
ZSCAN2,YES,1,356,0.0028089888,0,15008,0,0.0232346241,0.3054676895
POLDIP3,YES,330,1424,0.9269662921,12039,59856,0.8048927747,0.0236160307,0.3061196237
SPHKAP,YES,5,356,0.0140449438,65,15010,0.0043304464,0.0238676001,0.3077261167
EIF4E1B,YES,3,356,0.0084269663,24,14976,0.0016025641,0.0244575095,0.3136545503
DAAM2;MOCS1,YES,2,356,0.0056179775,9,15000,0.0006,0.0259054558,0.3270055183
ERMP1,YES,2,712,0.0056179775,9,30024,0.0005995204,0.0257763569,0.3270055183
TMEM33,YES,50,712,0.1404494382,1501,29968,0.1001735077,0.0258179294,0.3270055183
ZNF479,YES,9,356,0.0252808989,781,14986,0.0521153076,0.026558495,0.333502768
KNSTRN,YES,36,712,0.1011235955,2206,30012,0.1471050955,0.0273553301,0.3399675308
ZC3H18,YES,11,1424,0.0308988764,225,59936,0.0150138005,0.0272637181,0.3399675308
PTPRN2,YES,17,356,0.047752809,1237,14982,0.0825657456,0.0285161069,0.3525760702
WBP2,YES,13,356,0.0365168539,280,14986,0.0186841052,0.0292351997,0.3596227876
NUDT21,YES,5,356,0.0140449438,69,14998,0.0046006134,0.0295404371,0.3615329643
C6orf141,YES,2,356,0.0056179775,10,15014,0.000666045,0.0305596603,0.3623028894
ODF3L2,YES,235,706,0.6709951846,11637,29658,0.779725829,0.0304893109,0.3623028894
OTOGL,YES,2,356,0.0056179775,10,14988,0.0006672004,0.0306552424,0.3623028894
PCED1A,YES,2,356,0.0056179775,10,14996,0.0006668445,0.0306257849,0.3623028894
PPP1R13B,YES,2,712,0.0056179775,10,29958,0.0006674676,0.0305817361,0.3623028894
TDRD6,YES,6,356,0.0168539326,94,14974,0.0062775477,0.0302724093,0.3623028894
ZNF100,YES,47,356,0.1320224719,1396,14982,0.0931784808,0.0306362002,0.3623028894
GIN1,YES,85,354,0.2401129944,4678,14942,0.313077232,0.0309964847,0.3645489011
CHTF8,YES,31,712,0.0870786517,850,29896,0.0568559677,0.0312643401,0.3659141937
MAGEA6,YES,8,1068,0.0224719101,103,31263,0.0098926534,0.031603445,0.3680961632
FBRSL1,YES,12,356,0.0337078652,926,14896,0.0621643394,0.0317927639,0.3685209311
MFGE8,YES,48,356,0.1348314607,1425,14970,0.0951903808,0.0320156301,0.3693286322
FERMT1,YES,31,712,0.0870786517,866,29988,0.0577492312,0.0329876899,0.375157171
GRHPR,YES,21,356,0.058988764,536,15014,0.0357000133,0.0327140517,0.375157171
OFD1,YES,1,356,0.0028089888,0,10484,0,0.0329305415,0.375157171
RPL3L,YES,317,1068,0.8904494382,11556,44756,0.7768212731,0.0340007467,0.3818179106
SFPQ,YES,6,356,0.0168539326,97,15004,0.0064649427,0.0339861924,0.3818179106
ZKSCAN3,YES,174,1068,0.4887640449,6125,44956,0.4091376099,0.0340484657,0.3818179106
NUDT9,YES,1,356,0.0028089888,264,15012,0.0175859313,0.0342115058,0.3818700948
AKAP7,YES,3,356,0.0084269663,28,14994,0.0018674136,0.0349872066,0.382652056
C9orf116,YES,2,356,0.0056179775,11,14984,0.0007341164,0.0356925616,0.382652056
CMC2,YES,11,356,0.0308988764,880,15004,0.0586510264,0.03574082,0.382652056
IMPG1,YES,2,356,0.0056179775,11,14996,0.0007335289,0.0356415438,0.382652056
NFATC1,YES,13,356,0.0365168539,981,14986,0.065461097,0.0358270704,0.382652056
PC,YES,5,356,0.0140449438,515,14976,0.0343883547,0.0358846824,0.382652056
POU2F1,YES,44,1068,0.1235955056,1291,44022,0.0875706101,0.0360273815,0.382652056
RPUSD3,YES,4,356,0.0112359551,49,15008,0.0032649254,0.0349439836,0.382652056
SMOX,YES,2,356,0.0056179775,11,14992,0.0007337247,0.0356585376,0.382652056
ST7,YES,7,356,0.0196629213,124,14990,0.0082721815,0.034773993,0.382652056
THSD7A,YES,2,356,0.0056179775,11,14978,0.0007344105,0.0357181115,0.382652056
SLC29A3,YES,51,1068,0.143258427,1569,44982,0.1046752779,0.0363500715,0.3843860636
TIAM1,YES,22,712,0.0617977528,563,30002,0.0375320046,0.0366318508,0.384671159
TSPAN9,YES,173,712,0.4859550562,6047,29860,0.4062974933,0.0366961288,0.384671159
IGSF10;MED12L,YES,4,356,0.0112359551,50,15016,0.0033297816,0.0370030271,0.3862090837
SEPHS2,YES,32,1068,0.0898876404,908,45016,0.0605464401,0.0373190141,0.3878282026
ARFGEF3,YES,24,1068,0.0674157303,645,45038,0.0429663937,0.0380183322,0.3933999956
ZCCHC24,YES,2,356,0.0056179775,331,14968,0.0221138429,0.0382303394,0.3939031975
AGMO,YES,5,356,0.0140449438,76,14992,0.0050693703,0.0412445603,0.3960548195
AGTRAP,YES,4,356,0.0112359551,53,14952,0.0035446763,0.0443392136,0.3960548195
ANKRD13C,YES,1,356,0.0028089888,1,14990,6.6711140760507E-05,0.0459811554,0.3960548195
ARFGAP2,YES,1,356,0.0028089888,1,14942,6.69254450542096E-05,0.0461237118,0.3960548195
ARL1,YES,5,356,0.0140449438,75,14996,0.0050013337,0.0393952539,0.3960548195
CCNC,YES,1,356,0.0028089888,1,14974,6.67824228663016E-05,0.0460285762,0.3960548195
CDK15,YES,2,356,0.0056179775,334,15012,0.0222488676,0.0386229299,0.3960548195
CDK5R2,YES,3,356,0.0084269663,396,14922,0.0265379976,0.0391596762,0.3960548195
DEAF1,YES,1,356,0.0028089888,1,14966,6.68181210744354E-05,0.0460523233,0.3960548195
DNASE1;TRAP1,YES,1,356,0.0028089888,1,14978,6.67645880624917E-05,0.0460167118,0.3960548195
DNMBP,YES,1,356,0.0028089888,1,15000,6.66666666666667E-05,0.0459515669,0.3960548195
DUSP5,YES,1,356,0.0028089888,1,15010,6.66222518321119E-05,0.0459220165,0.3960548195
EIF3E,YES,1,356,0.0028089888,1,14920,6.70241286863271E-05,0.0461893459,0.3960548195
ELOF1,YES,1,356,0.0028089888,1,14970,6.68002672010688E-05,0.0460404467,0.3960548195
ENPP2,YES,1,356,0.0028089888,1,15014,6.66045024643666E-05,0.045910207,0.3960548195
FBXO28,YES,1,356,0.0028089888,1,15016,6.6595631326585E-05,0.0459043046,0.3960548195
GABARAP,YES,6,356,0.0168539326,105,14990,0.0070046698,0.0462968119,0.3960548195
HPSE,YES,1,356,0.0028089888,1,15006,0.00006664,0.0459338321,0.3960548195
LEP,YES,6,356,0.0168539326,105,14974,0.0070121544,0.0464883923,0.3960548195
LIG4,YES,5,356,0.0140449438,76,15000,0.0050666667,0.0411681264,0.3960548195
LRRC8D,YES,2,356,0.0056179775,13,15010,0.0008660893,0.0464535745,0.3960548195
MCM5,YES,2,356,0.0056179775,12,14984,0.0008008542,0.0410064623,0.3960548195
NDUFS1,YES,1,356,0.0028089888,1,15016,6.6595631326585E-05,0.0459043046,0.3960548195
NR1D2,YES,1,356,0.0028089888,1,15002,6.6657778962805E-05,0.0459456538,0.3960548195
NR1H2,YES,1,356,0.0028089888,1,14952,6.68806848582129E-05,0.0460939397,0.3960548195
PACRGL,YES,28,356,0.0786516854,770,15002,0.0513264898,0.0414202623,0.3960548195
PPP2CB,YES,1,356,0.0028089888,1,15010,6.66222518321119E-05,0.0459220165,0.3960548195
PRKDC,YES,9,1068,0.0252808989,173,44546,0.0117068346,0.0419896461,0.3960548195
PRKG2,YES,4,356,0.0112359551,52,15008,0.0034648188,0.0415159638,0.3960548195
PTPN5,YES,1,356,0.0028089888,1,14924,6.70061645671402E-05,0.0461773986,0.3960548195
RLN1,YES,1,356,0.0028089888,1,14988,0.00006672,0.0459870776,0.3960548195
SEZ6L2,YES,2,356,0.0056179775,12,14982,0.0008009612,0.0410161626,0.3960548195
SHCBP1,YES,2,356,0.0056179775,13,15006,0.0008663201,0.0464753408,0.3960548195
SLC25A18,YES,1,356,0.0028089888,1,14998,6.66755567408988E-05,0.0459574816,0.3960548195
SORCS1,YES,1,356,0.0028089888,1,14952,6.68806848582129E-05,0.0460939397,0.3960548195
ST3GAL6,YES,2,712,0.0056179775,13,30014,0.0008663557,0.0463162832,0.3960548195
TBRG4,YES,125,356,0.3511235955,4227,14992,0.2819503735,0.039494823,0.3960548195
TDP1,YES,23,356,0.0646067416,607,15004,0.0404558784,0.0431999755,0.3960548195
TEX30,YES,54,356,0.1516853933,3049,14980,0.2035380507,0.0451816869,0.3960548195
TMEM150A,YES,1,356,0.0028089888,1,14978,6.67645880624917E-05,0.0460167118,0.3960548195
TMEM59,YES,1,356,0.0028089888,1,15002,6.6657778962805E-05,0.0459456538,0.3960548195
TPP1,YES,1,356,0.0028089888,1,14988,0.00006672,0.0459870776,0.3960548195
WDR55,YES,3,356,0.0084269663,30,14936,0.0020085699,0.0414289002,0.3960548195
ZC3H14,YES,1,356,0.0028089888,1,15014,6.66045024643666E-05,0.045910207,0.3960548195
ZFP36L2,YES,1,356,0.0028089888,1,14878,6.72133351256889E-05,0.0463151676,0.3960548195
ZNF419,YES,1,356,0.0028089888,1,15014,6.66045024643666E-05,0.045910207,0.3960548195
ZNF584,YES,147,356,0.4129213483,7552,14954,0.5050153805,0.0446958001,0.3960548195
ZNF778,YES,1,356,0.0028089888,1,15012,6.66133759658939E-05,0.045916111,0.3960548195
ZZZ3,YES,1,356,0.0028089888,1,15012,6.66133759658939E-05,0.045916111,0.3960548195
PCOLCE2,YES,61,356,0.1713483146,3370,14918,0.2259015954,0.0473116798,0.4002402109
WWC2,YES,50,356,0.1404494382,1539,14964,0.1028468324,0.0472630103,0.4002402109
RPUSD1,YES,3,356,0.0084269663,32,14970,0.0021376086,0.0477675511,0.4012807165
TMBIM6,YES,1,356,0.0028089888,241,15002,0.0160645247,0.0477246089,0.4012807165
FAM102B,YES,8,356,0.0224719101,682,14998,0.0454727297,0.0484693242,0.4043582723
SLC6A3,YES,114,1780,0.3202247191,3915,74568,0.2613673419,0.0483754002,0.4043582723
C11orf24,YES,5,712,0.0140449438,494,29956,0.0329817065,0.0492885584,0.4097748766
KIF23,YES,6,356,0.0168539326,107,15010,0.0071285809,0.049458893,0.4097779759
EP400,YES,65,1068,0.1825842697,2112,45022,0.1407392716,0.0500571358,0.4105025657
PHF2,YES,164,1424,0.4606741573,5853,59960,0.3904909903,0.0500006503,0.4105025657
TSGA10,YES,1,356,0.0028089888,247,14808,0.0166801729,0.0499994968,0.4105025657
TGFA,YES,160,356,0.4494382022,5544,14970,0.3703406814,0.0504241526,0.4121106164
FAF2,YES,8,712,0.0224719101,675,29998,0.0450015751,0.0509727239,0.4135846524
